"Doc/Sentence Index","Mention Index/Total","Sentence","Mention","Head","AFET Labels","Turk General Labels","Turk Fine Labels"
"wex/20110513/18/33/3840","0/7","<a>XXXX</a> was a story in the comics anthology 2000 AD , created by Gerry Finley-Day and Carlos Ezquerra .","Fiends of the Eastern Front","Fiends","[]"
"wex/20110513/18/33/3840","1/7","<a>XXXX</a> of the Eastern Front was a story in the comics anthology 2000 AD , created by Gerry Finley-Day and Carlos Ezquerra .","Fiends","Fiends","[]"
"wex/20110513/18/33/3840","2/7","Fiends of <a>XXXX</a> was a story in the comics anthology 2000 AD , created by Gerry Finley-Day and Carlos Ezquerra .","the Eastern Front","Front","[]"
"wex/20110513/18/33/3840","3/7","Fiends of the Eastern Front was <a>XXXX</a> in the comics anthology 2000 AD , created by Gerry Finley-Day and Carlos Ezquerra .","a story","story","[]"
"wex/20110513/18/33/3840","4/7","Fiends of the Eastern Front was a story in the comics anthology 2000 AD , created by <a>XXXX</a> .","Gerry Finley-Day and Carlos Ezquerra","Finley-Day","[]"
"wex/20110513/18/33/3840","5/7","Fiends of the Eastern Front was a story in the comics anthology 2000 AD , created by <a>XXXX</a> and Carlos Ezquerra .","Gerry Finley-Day","Finley-Day","['/person']"
"wex/20110513/18/33/3840","6/7","Fiends of the Eastern Front was a story in the comics anthology 2000 AD , created by Gerry Finley-Day and <a>XXXX</a> .","Carlos Ezquerra","Ezquerra","['/person']"
"wex/20110513/18/33/3892","0/5","<a>XXXX</a> Isabella -LRB- nee Mann -RRB- and was educated at Eton College .","Son of Charles Wykeham-Martin M.P. and Lady Jemima","Son","[]"
"wex/20110513/18/33/3892","1/5","<a>XXXX</a> of Charles Wykeham-Martin M.P. and Lady Jemima Isabella -LRB- nee Mann -RRB- and was educated at Eton College .","Son","Son","[]"
"wex/20110513/18/33/3892","2/5","Son of <a>XXXX</a> Isabella -LRB- nee Mann -RRB- and was educated at Eton College .","Charles Wykeham-Martin M.P. and Lady Jemima","Jemima","[]"
"wex/20110513/18/33/3892","3/5","Son of Charles Wykeham-Martin M.P. and Lady Jemima Isabella -LRB- nee <a>XXXX</a> -RRB- and was educated at Eton College .","Mann","Mann","[]"
"wex/20110513/18/33/3892","4/5","Son of Charles Wykeham-Martin M.P. and Lady Jemima Isabella -LRB- nee Mann -RRB- and was educated at <a>XXXX</a> .","Eton College","College","['/organization', '/organization/educational_institution', '/location']"
"wex/20110513/18/33/4021","0/10","<a>XXXX</a> was in 1888 , in the Gardens Margherita and inaugurated by King Umberto I with the consort Margherita di Savoia and from the President of the Council Francesco Crispi .","The first important fair entertained in Bologna","fair","[]"
"wex/20110513/18/33/4021","1/10","<a>XXXX</a> entertained in Bologna was in 1888 , in the Gardens Margherita and inaugurated by King Umberto I with the consort Margherita di Savoia and from the President of the Council Francesco Crispi .","The first important fair","fair","[]"
"wex/20110513/18/33/4021","2/10","The first important fair entertained in <a>XXXX</a> was in 1888 , in the Gardens Margherita and inaugurated by King Umberto I with the consort Margherita di Savoia and from the President of the Council Francesco Crispi .","Bologna","Bologna","[]"
"wex/20110513/18/33/4021","3/10","The first important fair entertained in Bologna was in 1888 , in <a>XXXX</a> and inaugurated by King Umberto I with the consort Margherita di Savoia and from the President of the Council Francesco Crispi .","the Gardens Margherita","Margherita","[]"
"wex/20110513/18/33/4021","4/10","The first important fair entertained in Bologna was in 1888 , in the Gardens Margherita and inaugurated by <a>XXXX</a> and from the President of the Council Francesco Crispi .","King Umberto I with the consort Margherita di Savoia","I","[]"
"wex/20110513/18/33/4021","5/10","The first important fair entertained in Bologna was in 1888 , in the Gardens Margherita and inaugurated by <a>XXXX</a> with the consort Margherita di Savoia and from the President of the Council Francesco Crispi .","King Umberto I","I","['/person/monarch', '/person']"
"wex/20110513/18/33/4021","6/10","The first important fair entertained in Bologna was in 1888 , in the Gardens Margherita and inaugurated by King Umberto I with <a>XXXX</a> and from the President of the Council Francesco Crispi .","the consort Margherita di Savoia","Savoia","[]"
"wex/20110513/18/33/4021","7/10","The first important fair entertained in Bologna was in 1888 , in the Gardens Margherita and inaugurated by King Umberto I with the consort Margherita di Savoia and from <a>XXXX</a> .","the President of the Council Francesco Crispi","President","[]"
"wex/20110513/18/33/4021","8/10","The first important fair entertained in Bologna was in 1888 , in the Gardens Margherita and inaugurated by King Umberto I with the consort Margherita di Savoia and from <a>XXXX</a> of the Council Francesco Crispi .","the President","President","[]"
"wex/20110513/18/33/4021","9/10","The first important fair entertained in Bologna was in 1888 , in the Gardens Margherita and inaugurated by King Umberto I with the consort Margherita di Savoia and from the President of <a>XXXX</a> .","the Council Francesco Crispi","Crispi","[]"
"wex/20110513/18/33/4235","0/10","<a>XXXX</a> was the utilization of wheat-pasted posters and crack-and-peel stickers that were interspersed throughout New York City .","One of fierce pussy 's more well-known projects","One","[]"
