"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"1","0/1","Bates continued to be too emotionally unstable to work and in 1957 , <a>XXXX</a> was canceled .","","","nsubjpass -> canceled"
"2","0/1","After she graduated in 1986 , she considered attending <a>XXXX</a> and perhaps working in languages for the U. S. State Department .","graduate school","school","dobj -> attending"
"3","0/1","In 2008 , <a>XXXX</a> advanced to the national championship game , their first under his leadership .","","","nsubj -> advanced"
"4","0/1","<a>XXXX</a> is an Italian politician and statesman .","Romano Prodi -LRB- ; born 9 August 1939 -RRB-","Prodi","nsubj -> politician"
"5","0/1","On 13 February 2008 it was announced that <a>XXXX</a> would go on loan to Swiss side FC Sion until 31 December 2008 .","","","nsubj -> go"
"6","0/1","During his business trips to New York to finance <a>XXXX</a> , Mason became acquainted with Julia Phelps and the two married on November 1 , 1838 .","his internal improvements program","program","dobj -> finance"
"7","0/1","Most had <a>XXXX</a> ; Michael died in 2000 .","","","dobj -> had"
"8","0/1","In the fall of 2001 Maureen was the newest addition to the Cassie Johnson Rink where she played <a>XXXX</a> .","lead","lead","dobj -> played"
"9","0/1","In 1919 , <a>XXXX</a> was part of the Japanese diplomatic delegation to the Paris Peace Conference , where this knowledge proved to be useful .","","","nsubj -> part"
"11","0/1","In October 2005 , <a>XXXX</a> answered 15 questions submitted by readers .","Watterson","Watterson","nsubj -> answered"
"12","0/1","In accordance with the divorce agreement , <a>XXXX</a> continued to live in close proximity to Simenon and their son Marc , an arrangement that continued until they all returned to Europe in 1955 .","","","nsubj -> continued"
"13","0/1","<a>XXXX</a> was reelected again in 1997 with 66 % of the vote .","He","He","nsubjpass -> reelected"
"14","0/1","On April 2 , 2008 , <a>XXXX</a> was elected to the Canadian Football Hall of Fame in his first year of eligibility .","","","nsubjpass -> elected"
"15","0/1","At the age of 16 , Garrel wrote and directed <a>XXXX</a> in 1964 .","his first film , Les Enfants Dsaccords ,","film","dobj -> directed"
"16","0/1","In 1949 McConachie obtained landing rights at the Tokyo and Hong Kong airports that opened <a>XXXX</a> to CPA 's highly successful transpacific service to Australia , Asia and the South Pacific .","","","dobj -> opened"
"17","0/1","In 1982 <a>XXXX</a> published a memoir Inside the Treasury -LRB- Andre Deutsch -RRB- .","he","he","nsubj -> published"
"18","0/1","In 2008 , Mayall was awarded <a>XXXX</a> from the University of Exeter .","","","dobj -> awarded"
"19","0/1","One of Tell 's many performances was <a>XXXX</a> Left festival in Pomona , California on October 14 , 2006 .","the Bamboozle","Bamboozle","nsubj -> Left"
"20","0/1","He was appointed <a>XXXX</a> in 1947 , Territorial Army .","","","dobj -> appointed"
"23","0/1","When <a>XXXX</a> opened here in February 1736 , it was ahead of the Colonial curve : `` the first purpose-built theater building in America , '' according to publicity materials of the Spoleto Festival USA -LRB- though some scholars see the history differently -RRB- .","the Dock Street Theater","Theater","nsubj -> opened"
"24","0/1","The failure of investors to treat the euro area as a unified market could set <a>XXXX</a> , according to the chief of UniCredit , the giant European cross-border lender .","","","dobj -> set"
"25","0/1","A day after a court convicted <a>XXXX</a> in the 2008 Mumbai terrorist attack of waging war against India and other crimes , the prosecution on Tuesday demanded that he be executed .","the lone surviving gunman","gunman","dobj -> convicted"
"26","0/1","In some parts of the country , the sight of oil drifting toward the Louisiana coast , oozing into the fragile marshlands and bringing <a>XXXX</a> to a halt , has prompted calls to stop offshore drilling indefinitely , if not altogether .","","","dobj -> bringing"
"27","0/1","Iraq 's election commission announced Friday that <a>XXXX</a> had completed a partial recount of ballots from the country 's election two months ago and found no widespread fraud or irregularities .","it","it","nsubj -> found"
"28","0/1","In Europe , <a>XXXX</a> are generally giddy to see the euro fall and exports rise .","","","nsubj -> giddy"
"30","0/1","As the mining city of Mezhdurechensk began to bury its dead Tuesday , Prime Minister Vladimir V. Putin flew to the site of the disaster in western Siberia , vowing to discover whether <a>XXXX</a> had contributed to one of the most lethal mine disasters here since the collapse of the Soviet Union .","human error or lax safety standards","error","nsubj -> contributed"
"32","0/1","The Conservatives warned that <a>XXXX</a> could lead to disaster .","","","nsubj -> lead"
"33","0/1","And the Labour Party could potentially use <a>XXXX</a> to cling to power for a little while longer .","it","it","nsubj -> cling"
"34","0/1","President Barack Obama promised Thursday to spend $ 80 billion over 10 years to maintain and modernize the nation 's nuclear arsenal , a commitment that could help win Republican support for his new arms control <a>XXXX</a> .","","","dobj -> control"
"35","0/1","A federal labor board has finalized a change in rules for union representation elections that will likely make it easier for airline employees to unionize and trigger <a>XXXX</a> at Delta Air Lines for its merger with Northwest Airlines .","long-awaited union elections","elections","dobj -> trigger"
"37","0/1","The Indian Premier League , <a>XXXX</a> turns staid cricket into something fast-paced and glamorous , just ended its third season with a new champion , the Chennai Super Kings , and a new scandal revolving around allegations of financial fraud .","","","nsubj -> turns"
"38","0/1","The Afghan government suspended the operations of two church-based relief groups on Monday over suspicions that <a>XXXX</a> were involved in converting Afghans to Christianity , even though the evidence against them apparently consisted of nothing more than a listing in a telephone directory .","they","they","nsubjpass -> involved"
"39","0/1","<a>XXXX</a> said Sunday that they had arrested a Polish priest and charged him with sexually abusing a 16-year-old former altar boy .","","","nsubj -> said"
"40","0/1","A Pakistani court on Monday ordered the government to restore access to Facebook , nearly two weeks after it blocked <a>XXXX</a> amid anger over a Facebook page that solicited images of the Prophet Muhammad .","the social networking website","website","dobj -> blocked"
"41","0/1","<a>XXXX</a> issued rules on Monday allowing young adults to remain covered by their parents ' health insurance policies up to age 26 .","","","nsubj -> issued"
"42","0/1","A battle over Thailand 's future is raging , but the one man who has been able to resolve <a>XXXX</a> has been notably silent : King Bhumibol Adulyadej , long a unifying father figure for his nation .","such intractable conflicts in the past","conflicts","dobj -> resolve"
